Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,bothKeywords,Correspondence Address,Editors,Publisher Address,Conference name,Conference location,Conference date,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,Subject,EID,duplicatedIn,country,emailHost,institution,institutionWithCountry,authorFull
"Lyerly, R., Kim, S.H., Ravindran, B.",1ibMPNode: An OpenMP Runtime For Parallel Processing Across Incoherent Domains,2019,PROCEEDINGS OF THE TENTH INTERNATIONAL WORKSHOP ON PROGRAMMING MODELS AND APPLICATIONS FOR MULTICORES AND MANYCORES (PMAM 2019),,,,81,90,10,0,10.1145/3303084.3309495,,"[Lyerly, Robert; Ravindran, Binoy] Virginia Tech, Bradley Dept Elect & Comp Engn, Blacksburg, VA 24061 USA; [Kim, Sang-Hoon] Ajou Univ, Dept Software & Comp Engn, Suwon, South Korea",,"In this work we describe 1ibMPNode, an OpenMP runtime designed for efficient multithreaded execution across systems composed of multiple non-cache-coherent domains. Rather than requiring extensive compiler-level transformations or building new programming model abstractions, 1ibMPNode builds on recent works that allow developers to use a traditional shared-memory programming model to build applications that are migratable between incoherent domains. 1ibMPNode handles migrating threads between domains, or nodes, and optimizes many OpenMP mechanisms to reduce cross-node communication. While applications may not scale as written, we describe early experiences in simple code refactoring techniques that help scale performance by only changing a handful of lines of code. We describe and evaluate the current implementation, report on experiences using the runtime, and describe future research directions for multi-domain OpenMP.",OpenMP; non-cache-coherent multicores; scalability,SYSTEM,OpenMP;non-cache-coherent multicores;scalability;SYSTEM,rlyerly@vt.edu; sanghoonkim@ajou.ac.kr; binoy@vt.edu,"Chen, Q; Huang, ZY; Si, M","1515 BROADWAY, NEW YORK, NY 10036-9998 USA",10th International Workshop on Programming Models and Applications for Multicores and Manycores (PMAM),"Washington, DC","FEB 17, 2019",ASSOC COMPUTING MACHINERY,,978-1-4503-6290-0,,,English,,Proceedings Paper,WoS,Computer Science,WOS:000475556300009,,United States;South Korea,vt.edu,Virginia Tech;Ajou Univ,"Virginia Tech, United States;Ajou Univ, South Korea","Lyerly, Robert; Kim, Sang-Hoon; Ravindran, Binoy"
"Cordy J.R., Inoue K., Koschke R.","2012 6th International Workshop on Software Clones, IWSC 2012 - Proceedings: Foreword",2012,"2012 6th International Workshop on Software Clones, IWSC 2012 - Proceedings",,, 6227859,,,,0,10.1109/IWSC.2012.6227859,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864240585&doi=10.1109%2fIWSC.2012.6227859&partnerID=40&md5=ed71bb7f80a3fc02ca20b3f10c3676fe,"Queen's University, Canada; Osaka University, Japan; University of Bremen, Germany","Cordy, J.R., Queen's University, Canada; Inoue, K., Osaka University, Japan; Koschke, R., University of Bremen, Germany","Software clones are identical or similar pieces of code or design. Clones are known to be closely related to various issues on software engineering, such as software quality, complexity, architecture, refactoring, evolution, licensing, plagiarism, and so on. Various characteristics of software systems can be uncovered through the clone analysis, and system restructuring can be performed by merging clones. The purpose of this workshop is to continue to solidify and give shape to this research/application area and community. More specifically, the goals are to bring together academic and industrial researchers and practitioners from around the world to evaluate the current state of research and applications, discuss common problems, discover new opportunities for collaboration, exchange ideas, and envision new areas of research and applications. In this, the 6th international clone workshop, we will discuss issues in software clone detection, analysis and management, as well as applications to software engineering contexts that can benefit from knowledge of clones. As befits a maturing workshop, we have this year added independent program committee chairs to oversee the technical program. © 2012 IEEE.",,Clone analysis; International workshops; Program committee; Refactorings; Research and application; Software clone detection; Software clones; Software Quality; Software systems; State of research; Technical programs; Computer software selection and evaluation; Industrial research; Software engineering; Cloning,Clone analysis;International workshops;Program committee;Refactorings;Research and application;Software clone detection;Software clones;Software Quality;Software systems;State of research;Technical programs;Computer software selection and evaluation;Industrial research;Software engineering;Cloning,"Cordy, J.R.; Queen's UniversityCanada",,,,,,,,9781467317955,,,English,"Int. Workshop Softw. Clones, IWSC - Proc.",Conference Paper,Scopus,,2-s2.0-84864240585,,Canada;Japan;Germany,No email,,,"Cordy J.R., Inoue K., Koschke R."
Koschke R.,"2013 7th International Workshop on Software Clones, IWSC 2013 - Proceedings: Foreword",2013,"2013 7th International Workshop on Software Clones, IWSC 2013 - Proceedings",,, 6613031,,,,0,10.1109/IWSC.2013.6613031,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886649318&doi=10.1109%2fIWSC.2013.6613031&partnerID=40&md5=0cb7eaf4a23e8cea69a4bd321af74676,"University of Bremen, Germany","Koschke, R., University of Bremen, Germany","Software clones are identical or similar pieces of code or design. Clones are known to be closely related to various issues on software engineering, such as software quality, complexity, architecture, refactoring, evolution, licensing, plagiarism, and so on. Various characteristics of software systems can be uncovered through clone analysis, and system restructuring can be performed by merging clones. © 2013 IEEE.",,Computer software selection and evaluation; Software engineering; Clone analysis; International workshops; Refactorings; Software clones; Software Quality; Software systems; Cloning,Computer software selection and evaluation;Software engineering;Clone analysis;International workshops;Refactorings;Software clones;Software Quality;Software systems;Cloning,"Koschke, R.; University of BremenGermany",,,,,,IEEE Computer Society,,9781467364454,,,English,"Int. Workshop Softw. Clones, IWSC - Proc.",Conference Paper,Scopus,,2-s2.0-84886649318,,Germany,No email,,,Koschke R.
"Namiot D.E., Romanov V.Yu.",3D visualization of architecture and metrics of the software [3D визуализация архитектуры и метрик программного обеспечения],2018,Scientific Visualization,10,5,,123,129,,0,10.26583/sv.10.5.08,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062674609&doi=10.26583%2fsv.10.5.08&partnerID=40&md5=830706cbc24d1a3d5a8bd389dfd3dd93,"Lomonosov Moscow State University, Russian Federation","Namiot, D.E., Lomonosov Moscow State University, Russian Federation; Romanov, V.Yu., Lomonosov Moscow State University, Russian Federation","This article provides an overview of the methods of 3D visualization of software architecture and metrics. Metrics for programs (packages, classes, repositories) form one of the most actively used directions in software engineering. This line of research refers to the analysis of software, and visual analysis here is one of the most frequently used tools. This kind of visualization is usually part of the software quality analysis process. It can be used for training, for refactoring programs, and for integrating (combining) individual components (packages) into complex software systems. Obviously, visualization facilitates and speeds up the process of understanding the structure of software components. This is becoming more and more relevant, because now many open-source software components (what most often integrate into other systems), for example, are large and rather complex software packages. Accordingly, their integration into a new project is a very difficult task. We note that the integration problem becomes even more complicated if there is no access to the source texts of components in questions. In this case, the visual representation of metrics is, in fact, the main element of analysis. Analysis of third-party components is not the only area of application. Exactly the same problems arise in corporate development when separate groups work on a large project, which, moreover, can often vary in the composition of performers. In this paper, we consider, for example, the methods of visualization and analysis of the structure of a program in 3D space, which are based on the metaphor of the representation of a software component as a city, which consists of individual buildings that are grouped into districts, etc. We also consider the use of virtual reality for the presentation of software metrics. © 2018 Verduci Editore s.r.l. All Rights Reserved.",3D visualization; Software analysis; Software engineering; Software metrics,Computer software selection and evaluation; Open systems; Quality control; Software engineering; Three dimensional computer graphics; Virtual reality; Visualization; 3D Visualization; Complex software systems; Corporate development; Individual components; Software analysis; Software metrics; Visual representations; Visualization and analysis; Open source software,3D visualization;Software analysis;Software engineering;Software metrics;Computer software selection and evaluation;Open systems;Quality control;Three dimensional computer graphics;Virtual reality;Visualization;Complex software systems;Corporate development;Individual components;Visual representations;Visualization and analysis;Open source software,,,,,,,National Research Nuclear University,20793537,,,,Russian,Sci. Visualization,Article,Scopus,,2-s2.0-85062674609,,Russian Federation,No email,,,"Namiot D.E., Romanov V.Yu."
"Favre, J.M., Heckel, R., Mens, T.",3rd international workshop on software evolution through transformations: Embracing change,2006,"GRAPH TRANSFORMATIONS, PROCEEDINGS",4178,,,470,472,3,0,,,"Univ Grenoble 1, Grenoble, France; Univ Leicester, Leicester, Leics, England; Univ Mons, B-7000 Mons, Belgium",,"Transformation-based techniques such as refactoring, model transformation and model-driven development, architectural reconfiguration, etc. are at the heart of many software engineering activities, making it possible to cope with an ever changing environment. This workshop provides a forum for discussing these techniques, their formal foundations and applications.",,,,Jean-Marie.Favre@imag.fr; reiko@mcs.le.ac.uk; tom.mens@umh.ac.be,"Corradini, A; Ehrig, H; Montanari, U; Ribeiro, L; Rozenberg, G","HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY",3rd International Conference on Graph Transformations,"Natal, BRAZIL","SEP 17-23, 2006",SPRINGER-VERLAG BERLIN,0302-9743,3-540-38870-2,,,English,LECT NOTES COMPUT SC,Article; Proceedings Paper,WoS,Computer Science,WOS:000241436800036,2-s2.0-33750279879,France;United Kingdom;Belgium,imag.fr,Grenoble;Leicester;B-7000 Mons,"Grenoble, France;Leicester, United Kingdom;B-7000 Mons, Belgium","Favre, Jean-Marie; Heckel, Reiko; Mens, Tom"
"Abbott R., Sun C.",Abstraction abstracted,2008,Proceedings - International Conference on Software Engineering,,,,23,30,,1,10.1145/1370164.1370171,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951635378&doi=10.1145%2f1370164.1370171&partnerID=40&md5=54eb3eea2a967cf566edc1dcf7acb7f4,"Department of Computer Science, California State University, Los Angeles, CA, United States","Abbott, R., Department of Computer Science, California State University, Los Angeles, CA, United States; Sun, C., Department of Computer Science, California State University, Los Angeles, CA, United States","An abstraction is the reification and conceptualization of a distinction. We use the process of forming abstractions to make sense of the world, i.e., to form concepts. Once created we are often able to externalize these concepts as software. Abstractions are what give software elegance. Abstractions build on each other, producing a hierarchical dependency structure that often creates challenges for understanding. We can teach the use of pre-packaged abstractions. It is more difficult to teach the self-awareness necessary for inventing new abstractions. The process of building abstractions is bottom-up. Thought externalization is where top-down meets bottom-up. © 2008 ACM.",Abstraction; Conceptual model; Mental model; Refactoring; Self-awareness; Thought externalization,Abstraction; Conceptual model; Mental model; Refactorings; Self-awareness; Thought externalization; Software engineering; Abstracting,Abstraction;Conceptual model;Mental model;Refactoring;Self-awareness;Thought externalization;Refactorings;Software engineering;Abstracting,"Abbott, R.; Department of Computer Science, California State University, Los Angeles, CA, United States; email: Russ.Abbott@GMail.com",,,,,,,02705257,,PCSED,,English,Proc Int Conf Software Eng,Conference Paper,Scopus,,2-s2.0-79951635378,,United States,GMail.com,,,"Abbott R., Sun C."
"Wuyts, R., Kienle, H.M., Mens, K., van den Brand, M., Kuhn, A.",Academic Software Development Tools and Techniques Report on the 1st Workshop WASDeTT at ECOOP 2008,2009,OBJECT-ORIENTED TECHNOLOGY: ECOOP 2008 WORKSHOP READER,5475,,,87,+,4,3,,,"[Wuyts, Roel] Katholieke Univ Leuven, IMEC, Louvain, Belgium; [Kienle, Holger M.] Univ Victoria, Dept Comp Sci, Victoria, BC 8001, Canada; [Mens, Kim] Catholic Univ Louvain, Dept Ingn Informat, Louvain, Belgium; [van den Brand, Mark] Eindhoven Univ Technol, Math & Comp Sci, NL-5600 MB Eindhoven, Netherlands; [Kuhn, Adrian] Univ Bern, Software Composit Grp, CH-3012 Bern, Switzerland",,"The objective of the 1st International Workshop on Advanced Software Development Tools and Techniques (WASDeTT-1) wits to provide interested researchers with a forum to share their tool building experiences and to explore how tools can be built more effectively and efficiently. The theme for this workshop did focus on tools that target object-oriented languages and that are implemented with object-oriented languages. This workshop report provides a brief overview of the presented tools and of the discussions that took place. The presented tools, 15 in total, covered it broad range Of functionalities, among them: refactoring, modeling, behavioral specification, static and dynamic program checking, user interface composition, and program understanding. The discussion during the workshop centered around the following topics: language independent tools, tool building in an industrial context, tool building methodology, tool implementation language, and building tools with external code.",,,,,"Eugster, P","HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY",22nd European Conference on Object-Oriented Programming (ECOOP 2008),"Paphos, CYPRUS","JUL 07-11, 2008",SPRINGER-VERLAG BERLIN,0302-9743,978-3-642-02046-9,,,English,LECT NOTES COMPUT SC,Proceedings Paper,WoS,Computer Science,WOS:000267260400010,2-s2.0-69849086834,Belgium;Canada;Netherlands;Switzerland,No email,Katholieke Univ Leuven;Univ Victoria;Catholic Univ Louvain;Eindhoven Univ Technol;Univ Bern,"Katholieke Univ Leuven, Belgium;Univ Victoria, Canada;Catholic Univ Louvain, Belgium;Eindhoven Univ Technol, Netherlands;Univ Bern, Switzerland","Wuyts, Roel; Kienle, Holger M.; Mens, Kim; van den Brand, Mark; Kuhn, Adrian"
Haendler T.,A card game for learning software-refactoring principles,2019,CEUR Workshop Proceedings,2497,,,,,,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075099301&partnerID=40&md5=2b8e41a26dd9d25614b783c60212c4dd,"University of Applied Sciences BFI Vienna, Institute for Information Systems and New Media, WU Vienna, Austria","Haendler, T., University of Applied Sciences BFI Vienna, Institute for Information Systems and New Media, WU Vienna, Austria","While software refactoring is considered important to keep a software system maintainable and extensible, it is often neglected in practice due to several reasons. Besides the associated costs, software developers often perceive refactoring as a difficult and risky activity. However, apart from textbooks that document rules and best practices for identifying bad smells and applying appropriate refactoring techniques, learning and teaching refactoring poses multiple challenges. The application of these rules and techniques to code examples requires (advanced) skills in programming as well as an adequate handling of the programming environment. These circumstances can distract the focus and set barriers to the introduction of refactoring. In this paper, we present REFACTORY, a non-digital multi-player card game for learning principles of software refactoring without the development-related complexities. In our game, the players simulate a software-development team confronted with bad code smells. The players learn to combine refactoring techniques to remove the smells and to balance costs and value of refactoring. We specify the game design and illustrate the game workflow. In addition, experiences and lessons learned from a first game-play study are presented, e.g. regarding game fun and mediation of competences. Finally, we discuss limitations and further potential for improving the game. Copyright © 2019 for this paper by its authors.",Card game; Game-based learning; Serious game; Software refactoring,Computer programming; Odors; Software design; Card games; Game-based Learning; Learning and teachings; Learning software; Programming environment; Software developer; Software development teams; Software refactoring; Serious games,Card game;Game-based learning;Serious game;Software refactoring;Computer programming;Odors;Software design;Card games;Learning and teachings;Learning software;Programming environment;Software developer;Software development teams;Serious games,"Haendler, T.; University of Applied Sciences BFI Vienna, Institute for Information Systems and New Media, WU ViennaAustria; email: thorsten.haendler@fh-vie.ac.at",Arnedo-Moreno J.Gonzalez C.S.Mora A.,,,,,CEUR-WS,16130073,,,,English,CEUR Workshop Proc.,Conference Paper,Scopus,,2-s2.0-85075099301,,Austria,fh-vie.ac.at,,,Haendler T.
"Hills, M., Klint, P., van der Storm, T., Vinju, J.",A Case of Visitor versus Interpreter Pattern,2011,"OBJECTS, MODELS, COMPONENTS, PATTERNS, TOOLS 2011",6705,,,228,243,16,8,,,"[Hills, Mark; Klint, Paul; van der Storm, Tijs; Vinju, Jurgen] Ctr Wiskunde & Informat, Amsterdam, Netherlands; [Hills, Mark; Klint, Paul; Vinju, Jurgen] INRIA Lille Nord Europe, Le Chesnay, France",,"We compare the Visitor pattern with the Interpreter pattern, investigating a single case in point for the Java language. We have produced and compared two versions of an interpreter for a programming language. The first version makes use of the Visitor pattern. The second version was obtained by using an automated refactoring to transform uses of the Visitor pattern to uses of the Interpreter pattern. We compare these two nearly equivalent versions on their maintenance characteristics and execution efficiency. Using a tailored experimental research method we can highlight differences and the causes thereof. The contributions of this paper are that it isolates the choice between Visitor and Interpreter in a realistic software project and makes the difference experimentally observable.",,DESIGN PATTERNS; SOFTWARE; MAINTENANCE,DESIGN PATTERNS;SOFTWARE;MAINTENANCE,,"Bishop, J; Vallecillo, A","HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY","49th International Conference on Objects, Models, Components, Patterns (TOOLS)","Swiss Fed Inst Technol, Zurich, SWITZERLAND","JUN 28-30, 2011",SPRINGER-VERLAG BERLIN,0302-9743,978-3-642-21952-8,,,English,LECT NOTES COMPUT SC,Proceedings Paper,WoS,Computer Science,WOS:000392144900017,2-s2.0-79960176707,Netherlands;France,No email,Ctr Wiskunde & Informat;INRIA Lille Nord Europe,"Ctr Wiskunde & Informat, Netherlands;INRIA Lille Nord Europe, France","Hills, Mark; Klint, Paul; van der Storm, Tijs; Vinju, Jurgen"
"Kastner, C., Apel, S., Batory, D.",A case study implementing features using AspectJ,2007,"SPLC 2007: 11TH INTERNATIONAL SOFTWARE PRODUCT LINE CONFERENCE, PROCEEDINGS",,,,223,+,3,51,10.1109/SPLINE.2007.12,,"[Kaestner, Christian] Univ Magdeburg, Sch Comp Sci, D-39106 Magdeburg, Germany; [Apel, Sven] Univ Passau, Dept Informat & Math, D-94030 Passau, Germany; [Batory, Don] Univ Texas Austin, Dept Comp Sci, Austin, TX 78712 USA",,"Software product lines aim to create highly configurable programs from a set of features. Common belief and recent studies suggest that aspects are well-suited for implementing features. We evaluate the suitability of AspectJ with respect to this task by a case study that refactors the embedded database system Berkeley DB into 38 features. Contrary to our initial expectations, the results were not encouraging. As the number of aspects in a feature grows, there is a noticeable decrease in code readability and maintainability. Most of the unique and powerful features of AspectJ were not needed. We document where AspectJ is unsuitable for implementing features of refactored legacy applications and explain why.",,,,ckaestne@ovgu.de; apel@uni-passau.de; batory@cs.utexas.edu,,"10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA",11th International Software Product Line Conference,"Kyoto, JAPAN","SEP 10-14, 2007",IEEE COMPUTER SOC,,978-0-7695-2888-5,,,English,,Proceedings Paper,WoS,Computer Science,WOS:000251450700022,,Germany;United States,ovgu.de,Univ Magdeburg;Univ Passau;Univ Texas Austin,"Univ Magdeburg, Germany;Univ Passau, Germany;Univ Texas Austin, United States","Kaestner, Christian; Apel, Sven; Batory, Don"
